TIME                           PID  UID  GID SIG     COREFILE EXE                                                SIZE
Sat 2023-04-22 13:29:35 AEST  8862 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-22 13:30:49 AEST  9081 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-22 13:30:59 AEST  9202 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-22 13:33:19 AEST  9454 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-22 13:45:38 AEST 12070 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-22 13:47:59 AEST 12355 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-22 13:48:17 AEST 12503 1000 1000 SIGSEGV missing  /home/lily/Programing/Symmetrical Guide/build/main    -
Sat 2023-04-22 14:25:56 AEST 14194 1000 1000 SIGSEGV missing  /tmp/.mount_yuzug1XC7a/usr/bin/yuzu                   -
Sat 2023-04-22 14:31:36 AEST 14914 1000 1000 SIGSEGV missing  /tmp/.mount_yuzuGe2chl/usr/bin/yuzu                   -
Tue 2023-04-25 09:50:18 AEST   620 1000 1000 SIGSEGV missing  /tmp/.mount_yuzus3GS5h/usr/bin/yuzu                   -
Tue 2023-04-25 09:53:23 AEST  4882 1000 1000 SIGSEGV missing  /tmp/.mount_yuzuuxHOVM/usr/bin/yuzu                   -
Tue 2023-04-25 11:21:03 AEST 10549 1000 1000 SIGSEGV missing  /tmp/.mount_yuzuLprxhe/usr/bin/yuzu                   -
Sun 2023-05-07 12:08:48 AEST 12542 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
Sun 2023-05-07 12:36:23 AEST 16603 1000 1000 SIGSEGV present  /home/lily/Programing/Symmetrical Guide/build/main 2.1M
